County,Population,Violent_crime_count,Unemployment
Albany,"308,166",993,5%
Allegany,"47,972",68,6%
Bronx,"1,440,569","12,713",11%
Broome,"197,126",494,6%
Cattaraugus,"76,828",133,7%
Cayuga,"79,512",138,6%
Chautauqua,"132,852",296,6%
Chemung,"88,535",151,7%
Chenango,"49,375",50,6%
Clinton,"81,604",68,7%
Columbia,"62,148",47,5%
Cortland,"48,983",39,6%
Delaware,"45,709",58,6%
Dutchess,"297,173",558,5%
Erie,"921,558","3,925",6%
Essex,"37,221",44,7%
Franklin,"51,796",53,7%
Fulton,"54,329",63,7%
Genesee,"59,274",111,5%
Greene,"48,364",69,6%
Hamilton,"4,766",1,7%
Herkimer,"64,218",110,6%
Jefferson,"120,437",172,8%
Kings,"2,609,973","17,053",8%
Lewis,"27,211",27,7%
Livingston,"64,636",47,6%
Madison,"72,243",60,6%
Monroe,"752,007","2,224",6%
Montgomery,"49,874",48,7%
Nassau,"1,357,041","2,040",5%
New York,"1,635,470","8,327",6%
Niagara,"214,023",797,6%
Oneida,"233,634",559,6%
Onondaga,"469,355","1,493",6%
Ontario,"109,535",130,5%
Orange,"376,716",830,6%
Orleans,"42,149",58,7%
Oswego,"121,109",159,8%
Otsego,"61,644",51,5%
Putnam,"99,778",51,5%
Queens,"2,313,385","9,800",7%
Rensselaer,"160,303",471,5%
Richmond,"474,541","1,551",7%
Rockland,"323,543",370,5%
St. Lawrence,"112,184",92,8%
Saratoga,"225,201",162,5%
Schenectady,"155,678",597,5%
Schoharie,"31,691",11,7%
Schuyler,"18,529",10,6%
Seneca,"35,503",57,5%
Steuben,"98,730",111,7%
Suffolk,"1,503,376","1,741",5%
Sullivan,"76,591",155,7%
Tioga,"50,124",27,6%
Tompkins,"104,271",96,4%
Ulster,"180,937",293,6%
Warren,"65,353",40,6%
Washington,"63,134",60,6%
Wayne,"92,302",112,6%
Westchester,"974,944","2,156",5%
Wyoming,"41,454",36,6%
Yates,"25,146",17,5%
